"UMAP_1","UMAP_2","ident"
"Ascl1_d4_plate1_A10",11.741024017334,2.17400860786438,"MN"
"Ascl1_d4_plate1_A11",13.4258899688721,-1.13704252243042,"MN"
"Ascl1_d4_plate1_A12",13.2212505340576,0.318907558917999,"MN"
"Ascl1_d4_plate1_A16",12.4072237014771,2.82177352905273,"MN"
"Ascl1_d4_plate1_B03",11.9220514297485,-0.367894262075424,"MN"
"Ascl1_d4_plate1_B04",12.1237688064575,0.996234536170959,"MN"
"Ascl1_d4_plate1_B16",13.6202144622803,-0.368786513805389,"MN"
"Ascl1_d4_plate1_B18",10.8008832931519,1.72718667984009,"MN"
"Ascl1_d4_plate1_B22",11.006272315979,1.27183616161346,"MN"
"Ascl1_d4_plate1_C13",12.4618158340454,0.253990292549133,"MN"
"Ascl1_d4_plate1_C14",14.3792695999146,2.24774813652039,"MN"
"Ascl1_d4_plate1_C17",12.0882835388184,-0.184385150671005,"MN"
"Ascl1_d4_plate1_C18",13.0266227722168,-0.274271994829178,"MN"
"Ascl1_d4_plate1_C19",12.6121826171875,2.15789818763733,"MN"
"Ascl1_d4_plate1_C21",11.1968250274658,-0.457649409770966,"MN"
"Ascl1_d4_plate1_C22",12.9486894607544,1.78131783008575,"MN"
"Ascl1_d4_plate1_D01",12.7299404144287,-0.276385277509689,"MN"
"Ascl1_d4_plate1_D02",11.6901922225952,0.117247715592384,"MN"
"Ascl1_d4_plate1_D05",11.583309173584,-0.494871079921722,"MN"
"Ascl1_d4_plate1_D11",11.961766242981,0.545741498470306,"MN"
"Ascl1_d4_plate1_D16",11.2507858276367,-0.448162287473679,"MN"
"Ascl1_d4_plate1_D17",11.6840105056763,-0.6673663854599,"MN"
"Ascl1_d4_plate1_D18",13.079029083252,-1.52625131607056,"MN"
"Ascl1_d4_plate1_D19",12.0764579772949,2.49311637878418,"MN"
"Ascl1_d4_plate1_D21",11.4376335144043,0.980560481548309,"MN"
"Ascl1_d4_plate1_E01",12.5963668823242,-0.421660393476486,"MN"
"Ascl1_d4_plate1_E04",12.7397890090942,-0.386556386947632,"MN"
"Ascl1_d4_plate1_E10",14.4256057739258,1.62802469730377,"MN"
"Ascl1_d4_plate1_E16",14.6299228668213,2.71250915527344,"MN"
"Ascl1_d4_plate1_E18",13.5847501754761,-0.662530541419983,"MN"
"Ascl1_d4_plate1_E19",11.6194133758545,-0.339570730924606,"MN"
"Ascl1_d4_plate1_E20",12.0250787734985,2.07207107543945,"MN"
"Ascl1_d4_plate1_F01",12.5309114456177,2.33160877227783,"MN"
"Ascl1_d4_plate1_F04",14.5896320343018,0.37601912021637,"MN"
"Ascl1_d4_plate1_F16",14.1421909332275,2.69474029541016,"MN"
"Ascl1_d4_plate1_F17",11.5520896911621,-1.8415619134903,"IN"
"Ascl1_d4_plate1_F22",13.7187671661377,2.52068066596985,"MN"
"Ascl1_d4_plate1_G12",10.9772930145264,-1.17743527889252,"IN"
"Ascl1_d4_plate1_G19",11.0622396469116,-0.667763829231262,"MN"
"Ascl1_d4_plate1_G22",12.4878187179565,1.85213959217072,"MN"
"Ascl1_d4_plate1_H01",13.0814876556396,-0.364901751279831,"MN"
"Ascl1_d4_plate1_H02",14.2787828445435,2.58604192733765,"MN"
"Ascl1_d4_plate1_H05",12.8869915008545,2.56692099571228,"MN"
"Ascl1_d4_plate1_H06",11.5229682922363,-1.23525500297546,"IN"
"Ascl1_d4_plate1_H12",14.231593132019,2.61532402038574,"MN"
"Ascl1_d4_plate1_H13",14.0547246932983,2.42953419685364,"MN"
"Ascl1_d4_plate1_I03",13.4289960861206,-0.582762598991394,"MN"
"Ascl1_d4_plate1_I04",12.2272386550903,0.835808277130127,"MN"
"Ascl1_d4_plate1_I10",11.2684392929077,-1.33451890945435,"IN"
"Ascl1_d4_plate1_I11",11.955267906189,2.36049008369446,"MN"
"Ascl1_d4_plate1_I15",12.4071016311646,0.139166221022606,"MN"
"Ascl1_d4_plate1_I18",12.9503507614136,0.0619168914854527,"MN"
"Ascl1_d4_plate1_I19",14.0845260620117,3.06037211418152,"MN"
"Ascl1_d4_plate1_I20",12.3569993972778,0.406260907649994,"MN"
"Ascl1_d4_plate1_J07",12.0551223754883,2.63815641403198,"MN"
"Ascl1_d4_plate1_J11",11.9450407028198,0.962818801403046,"MN"
"Ascl1_d4_plate1_J13",12.4839572906494,-0.072993129491806,"MN"
"Ascl1_d4_plate1_J15",13.8751983642578,-0.200021758675575,"MN"
"Ascl1_d4_plate1_J16",12.7623596191406,-1.37817656993866,"MN"
"Ascl1_d4_plate1_J17",14.0936937332153,0.471706062555313,"MN"
"Ascl1_d4_plate1_J19",12.9013471603394,0.638201951980591,"MN"
"Ascl1_d4_plate1_K12",14.3568983078003,2.1093533039093,"MN"
"Ascl1_d4_plate1_K13",12.9140777587891,2.84115886688232,"MN"
"Ascl1_d4_plate1_K14",11.6338014602661,1.49885106086731,"MN"
"Ascl1_d4_plate1_K22",9.77554988861084,1.09441995620728,"MN"
"Ascl1_d4_plate1_L02",12.6208343505859,2.30126976966858,"MN"
"Ascl1_d4_plate1_L05",12.3318176269531,-0.204975292086601,"MN"
"Ascl1_d4_plate1_L10",13.5684089660645,-0.833891034126282,"MN"
"Ascl1_d4_plate1_L12",12.0714168548584,-0.189657837152481,"MN"
"Ascl1_d4_plate1_L16",12.7512426376343,2.91423225402832,"MN"
"Ascl1_d4_plate1_M02",13.1767024993896,1.52895772457123,"MN"
"Ascl1_d4_plate1_M07",13.3326292037964,-0.662259876728058,"MN"
"Ascl1_d4_plate1_M10",11.8151693344116,1.74322903156281,"MN"
"Ascl1_d4_plate1_M13",12.6430501937866,0.74514251947403,"MN"
"Ascl1_d4_plate1_M17",12.7029905319214,0.403861582279205,"MN"
"Ascl1_d4_plate1_N05",11.9096231460571,1.21557235717773,"MN"
"Ascl1_d4_plate1_N06",14.1903667449951,1.80453681945801,"MN"
"Ascl1_d4_plate1_N14",12.1954860687256,2.3933732509613,"MN"
"Ascl1_d4_plate1_N17",11.5051536560059,-0.505221307277679,"MN"
"Ascl1_d4_plate1_N22",11.2514781951904,1.32040762901306,"MN"
"Ascl1_d4_plate1_O07",11.706768989563,1.36965072154999,"MN"
"Ascl1_d4_plate1_O10",13.1794166564941,0.665361940860748,"MN"
"Ascl1_d4_plate1_O18",10.7530708312988,1.11038661003113,"MN"
"Ascl1_d4_plate1_O19",11.5971841812134,0.382819205522537,"MN"
"Ascl1_d4_plate1_P12",14.1094045639038,0.676970660686493,"MN"
"Ascl1_5d_II_20190403BJ_E17",13.2798137664795,2.90984630584717,"MN"
"Ascl1_12wk_B01",14.123423576355,0.613957226276398,"MN"
"Ascl1_12wk_B17",13.7812976837158,-0.404213279485703,"MN"
"Ascl1_12wk_C09",11.5690822601318,-0.628514409065247,"MN"
"Ascl1_12wk_C10",12.253698348999,-0.353516668081284,"MN"
"Ascl1_12wk_D01",12.269383430481,-0.0854269787669182,"MN"
"Ascl1_12wk_D02",11.8027620315552,0.43627068400383,"MN"
"Ascl1_12wk_E17",11.1756820678711,-1.10647261142731,"IN"
"Ascl1_12wk_E22",13.0219163894653,2.53751564025879,"MN"
"Ascl1_12wk_F20",13.7791738510132,0.518423438072205,"MN"
"Ascl1_12wk_G14",12.0608549118042,2.58206510543823,"MN"
"Ascl1_12wk_H03",13.8594436645508,2.85981369018555,"MN"
"Ascl1_12wk_H21",12.6578197479248,1.76807928085327,"MN"
"Ascl1_12wk_I22",12.3520011901855,0.70016872882843,"MN"
"Ascl1_12wk_K07",12.2272834777832,-0.455887943506241,"MN"
"Ascl1_12wk_K19",13.378342628479,1.23156630992889,"MN"
"Ascl1_12wk_L18",12.8517789840698,1.53492450714111,"MN"
"Ascl1_12wk_M07",14.2920961380005,-0.112623810768127,"MN"
"Ascl1_12wk_M13",13.3615188598633,0.20899024605751,"MN"
"Ascl1_12wk_M18",13.6819124221802,2.97056293487549,"MN"
"Ascl1_12wk_O02",12.9912939071655,1.83135545253754,"MN"
"Ascl1_12wk_P21",12.7277851104736,2.32160925865173,"MN"
"Ascl1_12wk_2_20190514BJ_B18",12.2223653793335,-1.15069174766541,"MN"
"Ascl1_12wk_2_20190514BJ_C06",13.3824148178101,2.14045095443726,"MN"
"Gli1_20180503BJ_Plate_I_C18",13.5547246932983,0.345479011535645,"MN"
"Gli1_20180503BJ_Plate_I_D20",14.2284297943115,1.29115617275238,"MN"
"Gli1_20180503BJ_Plate_I_J06",12.1972694396973,-0.782977819442749,"MN"
"Gli1_20180503BJ_Plate_I_K06",13.1451635360718,1.57957780361176,"MN"
"Gli1_20180503BJ_Plate_I_L21",13.2352495193481,0.961340188980103,"MN"
"Gli1_20180503BJ_Plate_I_M04",13.8215293884277,1.46622455120087,"MN"
"Gli1_20180503BJ_Plate_I_M21",12.0797157287598,-0.911710143089294,"MN"
"X20190219_Gli1_5d_A03",13.7973785400391,1.26391911506653,"MN"
"X20190219_Gli1_5d_B20",13.4535007476807,1.72983658313751,"MN"
"X20190219_Gli1_5d_C11",13.506498336792,0.620961427688599,"MN"
"X20190219_Gli1_5d_C14",13.0395040512085,2.43160772323608,"MN"
"X20190219_Gli1_5d_C23",11.8061199188232,-0.981726229190826,"MN"
"X20190219_Gli1_5d_E10",13.453595161438,0.142997965216637,"MN"
"X20190219_Gli1_5d_F02",12.5417394638062,-0.740833938121796,"MN"
"X20190219_Gli1_5d_F03",13.4060926437378,0.99456912279129,"MN"
"X20190219_Gli1_5d_F15",12.7429552078247,-1.02141773700714,"MN"
"X20190219_Gli1_5d_G14",14.0107679367065,1.80652320384979,"MN"
"X20190219_Gli1_5d_H11",12.6659049987793,-0.697739779949188,"MN"
"X20190219_Gli1_5d_J04",13.3723907470703,1.17049551010132,"MN"
"X20190219_Gli1_5d_J09",12.6374788284302,-0.786981105804443,"MN"
"X20190219_Gli1_5d_L01",13.6464767456055,1.01879441738129,"MN"
