"cell","type","cluster","batch_group"
"6","Gli1_20180503BJ_Plate_I_B20","Gli1","IN","Gli1_5day_1"
"8","Gli1_20180503BJ_Plate_I_B23","Gli1","IN","Gli1_5day_1"
"17","Gli1_20180503BJ_Plate_I_C18","Gli1","MN","Gli1_5day_1"
"18","Gli1_20180503BJ_Plate_I_C19","Gli1","dNSC","Gli1_5day_1"
"19","Gli1_20180503BJ_Plate_I_C20","Gli1","dNSC","Gli1_5day_1"
"24","Gli1_20180503BJ_Plate_I_D09","Gli1","ndNSC","Gli1_5day_1"
"33","Gli1_20180503BJ_Plate_I_D19","Gli1","ndNSC","Gli1_5day_1"
"34","Gli1_20180503BJ_Plate_I_D20","Gli1","MN","Gli1_5day_1"
"53","Gli1_20180503BJ_Plate_I_E20","Gli1","dNSC","Gli1_5day_1"
"54","Gli1_20180503BJ_Plate_I_E22","Gli1","dNSC","Gli1_5day_1"
"57","Gli1_20180503BJ_Plate_I_F04","Gli1","ndNSC","Gli1_5day_1"
"67","Gli1_20180503BJ_Plate_I_F18","Gli1","ndNSC","Gli1_5day_1"
"73","Gli1_20180503BJ_Plate_I_F24","Gli1","ndNSC","Gli1_5day_1"
"79","Gli1_20180503BJ_Plate_I_G09","Gli1","dNSC","Gli1_5day_1"
"82","Gli1_20180503BJ_Plate_I_G13","Gli1","ndNSC","Gli1_5day_1"
"89","Gli1_20180503BJ_Plate_I_G20","Gli1","dNSC","Gli1_5day_1"
"96","Gli1_20180503BJ_Plate_I_H06","Gli1","ndNSC","Gli1_5day_1"
"112","Gli1_20180503BJ_Plate_I_I02","Gli1","dNSC","Gli1_5day_1"
"130","Gli1_20180503BJ_Plate_I_I20","Gli1","ndNSC","Gli1_5day_1"
"133","Gli1_20180503BJ_Plate_I_I23","Gli1","ndNSC","Gli1_5day_1"
"135","Gli1_20180503BJ_Plate_I_J01","Gli1","ndNSC","Gli1_5day_1"
"139","Gli1_20180503BJ_Plate_I_J05","Gli1","ndNSC","Gli1_5day_1"
"140","Gli1_20180503BJ_Plate_I_J06","Gli1","MN","Gli1_5day_1"
"143","Gli1_20180503BJ_Plate_I_J09","Gli1","ndNSC","Gli1_5day_1"
"159","Gli1_20180503BJ_Plate_I_K01","Gli1","ndNSC","Gli1_5day_1"
"163","Gli1_20180503BJ_Plate_I_K05","Gli1","ndNSC","Gli1_5day_1"
"164","Gli1_20180503BJ_Plate_I_K06","Gli1","MN","Gli1_5day_1"
"167","Gli1_20180503BJ_Plate_I_K10","Gli1","ndNSC","Gli1_5day_1"
"181","Gli1_20180503BJ_Plate_I_K24","Gli1","ndNSC","Gli1_5day_1"
"185","Gli1_20180503BJ_Plate_I_L04","Gli1","dNSC","Gli1_5day_1"
"186","Gli1_20180503BJ_Plate_I_L05","Gli1","dNSC","Gli1_5day_1"
"188","Gli1_20180503BJ_Plate_I_L07","Gli1","IN","Gli1_5day_1"
"199","Gli1_20180503BJ_Plate_I_L18","Gli1","IN","Gli1_5day_1"
"201","Gli1_20180503BJ_Plate_I_L20","Gli1","ndNSC","Gli1_5day_1"
"202","Gli1_20180503BJ_Plate_I_L21","Gli1","MN","Gli1_5day_1"
"205","Gli1_20180503BJ_Plate_I_L24","Gli1","ndNSC","Gli1_5day_1"
"207","Gli1_20180503BJ_Plate_I_M04","Gli1","MN","Gli1_5day_1"
"208","Gli1_20180503BJ_Plate_I_M05","Gli1","ndNSC","Gli1_5day_1"
"210","Gli1_20180503BJ_Plate_I_M07","Gli1","ndNSC","Gli1_5day_1"
"215","Gli1_20180503BJ_Plate_I_M12","Gli1","ndNSC","Gli1_5day_1"
"220","Gli1_20180503BJ_Plate_I_M17","Gli1","IN","Gli1_5day_1"
"221","Gli1_20180503BJ_Plate_I_M18","Gli1","dNSC","Gli1_5day_1"
"223","Gli1_20180503BJ_Plate_I_M20","Gli1","MN","Gli1_5day_1"
"224","Gli1_20180503BJ_Plate_I_M21","Gli1","MN","Gli1_5day_1"
"225","Gli1_20180503BJ_Plate_I_M22","Gli1","ndNSC","Gli1_5day_1"
"226","Gli1_20180503BJ_Plate_I_M23","Gli1","ndNSC","Gli1_5day_1"
"227","Gli1_20180503BJ_Plate_I_M24","Gli1","ndNSC","Gli1_5day_1"
"228","Gli1_20180503BJ_Plate_I_N03","Gli1","ndNSC","Gli1_5day_1"
"242","Gli1_20180503BJ_Plate_I_N18","Gli1","ndNSC","Gli1_5day_1"
"244","Gli1_20180503BJ_Plate_I_N20","Gli1","IN","Gli1_5day_1"
"245","Gli1_20180503BJ_Plate_I_N21","Gli1","ndNSC","Gli1_5day_1"
"248","Gli1_20180503BJ_Plate_I_O03","Gli1","dNSC","Gli1_5day_1"
"250","Gli1_20180503BJ_Plate_I_O05","Gli1","ndNSC","Gli1_5day_1"
"257","Gli1_20180503BJ_Plate_I_O14","Gli1","dNSC","Gli1_5day_1"
"266","Gli1_20180503BJ_Plate_I_O23","Gli1","ndNSC","Gli1_5day_1"
"276","20190219_Gli1_5d_A03","Gli1","MN","Gli1_5day_2"
"279","20190219_Gli1_5d_A06","Gli1","ndNSC","Gli1_5day_2"
"280","20190219_Gli1_5d_A07","Gli1","ndNSC","Gli1_5day_2"
"285","20190219_Gli1_5d_A12","Gli1","ndNSC","Gli1_5day_2"
"303","20190219_Gli1_5d_B06","Gli1","dNSC","Gli1_5day_2"
"317","20190219_Gli1_5d_B20","Gli1","MN","Gli1_5day_2"
"326","20190219_Gli1_5d_C05","Gli1","ndNSC","Gli1_5day_2"
"332","20190219_Gli1_5d_C11","Gli1","MN","Gli1_5day_2"
"335","20190219_Gli1_5d_C14","Gli1","MN","Gli1_5day_2"
"338","20190219_Gli1_5d_C17","Gli1","ndNSC","Gli1_5day_2"
"343","20190219_Gli1_5d_C22","Gli1","IN","Gli1_5day_2"
"344","20190219_Gli1_5d_C23","Gli1","MN","Gli1_5day_2"
"349","20190219_Gli1_5d_D04","Gli1","ndNSC","Gli1_5day_2"
"357","20190219_Gli1_5d_D12","Gli1","ndNSC","Gli1_5day_2"
"360","20190219_Gli1_5d_D15","Gli1","ndNSC","Gli1_5day_2"
"364","20190219_Gli1_5d_D19","Gli1","IN","Gli1_5day_2"
"365","20190219_Gli1_5d_D20","Gli1","dNSC","Gli1_5day_2"
"371","20190219_Gli1_5d_E02","Gli1","ndNSC","Gli1_5day_2"
"378","20190219_Gli1_5d_E09","Gli1","IN","Gli1_5day_2"
"379","20190219_Gli1_5d_E10","Gli1","MN","Gli1_5day_2"
"382","20190219_Gli1_5d_E13","Gli1","dNSC","Gli1_5day_2"
"385","20190219_Gli1_5d_E16","Gli1","IN","Gli1_5day_2"
"389","20190219_Gli1_5d_E20","Gli1","ndNSC","Gli1_5day_2"
"394","20190219_Gli1_5d_F01","Gli1","dNSC","Gli1_5day_2"
"395","20190219_Gli1_5d_F02","Gli1","MN","Gli1_5day_2"
"396","20190219_Gli1_5d_F03","Gli1","MN","Gli1_5day_2"
"398","20190219_Gli1_5d_F05","Gli1","ndNSC","Gli1_5day_2"
"404","20190219_Gli1_5d_F11","Gli1","ndNSC","Gli1_5day_2"
"408","20190219_Gli1_5d_F15","Gli1","MN","Gli1_5day_2"
"409","20190219_Gli1_5d_F16","Gli1","ndNSC","Gli1_5day_2"
"412","20190219_Gli1_5d_F19","Gli1","ndNSC","Gli1_5day_2"
"417","20190219_Gli1_5d_F24","Gli1","IN","Gli1_5day_2"
"421","20190219_Gli1_5d_G04","Gli1","dNSC","Gli1_5day_2"
"424","20190219_Gli1_5d_G07","Gli1","ndNSC","Gli1_5day_2"
"431","20190219_Gli1_5d_G14","Gli1","MN","Gli1_5day_2"
"435","20190219_Gli1_5d_G18","Gli1","ndNSC","Gli1_5day_2"
"439","20190219_Gli1_5d_G22","Gli1","IN","Gli1_5day_2"
"440","20190219_Gli1_5d_G23","Gli1","ndNSC","Gli1_5day_2"
"444","20190219_Gli1_5d_H03","Gli1","dNSC","Gli1_5day_2"
"448","20190219_Gli1_5d_H07","Gli1","ndNSC","Gli1_5day_2"
"450","20190219_Gli1_5d_H09","Gli1","dNSC","Gli1_5day_2"
"452","20190219_Gli1_5d_H11","Gli1","MN","Gli1_5day_2"
"454","20190219_Gli1_5d_H13","Gli1","IN","Gli1_5day_2"
"460","20190219_Gli1_5d_H19","Gli1","IN","Gli1_5day_2"
"461","20190219_Gli1_5d_H20","Gli1","dNSC","Gli1_5day_2"
"465","20190219_Gli1_5d_H24","Gli1","ndNSC","Gli1_5day_2"
"470","20190219_Gli1_5d_I05","Gli1","ndNSC","Gli1_5day_2"
"474","20190219_Gli1_5d_I09","Gli1","ndNSC","Gli1_5day_2"
"485","20190219_Gli1_5d_I20","Gli1","IN","Gli1_5day_2"
"486","20190219_Gli1_5d_I21","Gli1","ndNSC","Gli1_5day_2"
"491","20190219_Gli1_5d_J02","Gli1","dNSC","Gli1_5day_2"
"493","20190219_Gli1_5d_J04","Gli1","MN","Gli1_5day_2"
"494","20190219_Gli1_5d_J05","Gli1","ndNSC","Gli1_5day_2"
"498","20190219_Gli1_5d_J09","Gli1","MN","Gli1_5day_2"
"504","20190219_Gli1_5d_J15","Gli1","ndNSC","Gli1_5day_2"
"508","20190219_Gli1_5d_J19","Gli1","IN","Gli1_5day_2"
"516","20190219_Gli1_5d_K03","Gli1","IN","Gli1_5day_2"
"520","20190219_Gli1_5d_K07","Gli1","dNSC","Gli1_5day_2"
"525","20190219_Gli1_5d_K12","Gli1","IN","Gli1_5day_2"
"533","20190219_Gli1_5d_K20","Gli1","dNSC","Gli1_5day_2"
"536","20190219_Gli1_5d_K23","Gli1","dNSC","Gli1_5day_2"
"538","20190219_Gli1_5d_L01","Gli1","MN","Gli1_5day_2"
"539","20190219_Gli1_5d_L02","Gli1","ndNSC","Gli1_5day_2"
"547","20190219_Gli1_5d_L10","Gli1","ndNSC","Gli1_5day_2"
"548","20190219_Gli1_5d_L11","Gli1","MN","Gli1_5day_2"
"552","20190219_Gli1_5d_L15","Gli1","ndNSC","Gli1_5day_2"
"554","20190219_Gli1_5d_L17","Gli1","MN","Gli1_5day_2"
"559","20190219_Gli1_5d_L22","Gli1","ndNSC","Gli1_5day_2"
"572","20190219_Gli1_5d_M11","Gli1","MN","Gli1_5day_2"
"573","20190219_Gli1_5d_M12","Gli1","ndNSC","Gli1_5day_2"
"588","20190219_Gli1_5d_N03","Gli1","ndNSC","Gli1_5day_2"
"589","20190219_Gli1_5d_N04","Gli1","ndNSC","Gli1_5day_2"
"596","20190219_Gli1_5d_N11","Gli1","ndNSC","Gli1_5day_2"
"597","20190219_Gli1_5d_N12","Gli1","MN","Gli1_5day_2"
"600","20190219_Gli1_5d_N15","Gli1","ndNSC","Gli1_5day_2"
"601","20190219_Gli1_5d_N16","Gli1","ndNSC","Gli1_5day_2"
"604","20190219_Gli1_5d_N19","Gli1","dNSC","Gli1_5day_2"
"605","20190219_Gli1_5d_N20","Gli1","MN","Gli1_5day_2"
"612","20190219_Gli1_5d_O03","Gli1","dNSC","Gli1_5day_2"
"615","20190219_Gli1_5d_O06","Gli1","MN","Gli1_5day_2"
"661","Gli1_12wk_20180822BJ_A04","Gli1","MN","Gli1_12wk"
"663","Gli1_12wk_20180822BJ_A06","Gli1","IN","Gli1_12wk"
"664","Gli1_12wk_20180822BJ_A07","Gli1","MN","Gli1_12wk"
"665","Gli1_12wk_20180822BJ_A08","Gli1","MN","Gli1_12wk"
"666","Gli1_12wk_20180822BJ_A09","Gli1","MN","Gli1_12wk"
"667","Gli1_12wk_20180822BJ_A10","Gli1","MN","Gli1_12wk"
"668","Gli1_12wk_20180822BJ_A11","Gli1","IN","Gli1_12wk"
"670","Gli1_12wk_20180822BJ_A13","Gli1","MN","Gli1_12wk"
